course_id,course_name,category,skills,level,duration_hours,rating,instructor,description,enrolled_students,price,language,tags,prerequisites
1,"D3.js - Advanced Dashboards (Live Cohort, DataCamp)",Data Visualization,d3.js advanced dashboards data visualization,Advanced,20,4.5,Prof. J. Mehta,"Learn D3.js through a advanced dashboards focused course, covering key concepts in Data Visualization.",18191,0,Hindi,"trending, project-based",[1503]
2,"PHP - Data Structures (Crash Course, LinkedIn Learning)",Programming,php data structures programming,Beginner,8,4.8,Prof. J. Mehta,"Learn PHP through a data structures focused course, covering key concepts in Programming.",23921,1999,English + Hindi Subtitles,"beginner-friendly, project-based, job-ready, quiz-included",[]
3,"Pandas - Practical Applications (Project-Based, Pluralsight)",Data Science,pandas practical applications data science,Intermediate,10,3.7,Ms. K. Verma,"Learn Pandas through a practical applications focused course, covering key concepts in Data Science.",9752,1999,Spanish,"industry-recognized, hands-on, in-demand",[1697]
4,"Ruby - Advanced Concepts (Crash Course, Pluralsight)",Programming,ruby advanced concepts programming,Advanced,10,3.7,Dr. A. Sharma,"Learn Ruby through a advanced concepts focused course, covering key concepts in Programming.",17151,2499,French,"trending, mentor-support, job-ready, project-based",[568]
5,"Statistical Analysis - Best Practices (Live Cohort, edX)",Data Science,statistical analysis best practices data science,Beginner,12,4.5,Prof. J. Mehta,"Learn Statistical Analysis through a best practices focused course, covering key concepts in Data Science.",32989,2499,French,"mentor-support, job-ready, beginner-friendly",[]
6,"Java - Basics (Self-Paced, Coursera)",Programming,java basics programming,Beginner,25,4.2,Mr. T. Singh,"Learn Java through a basics focused course, covering key concepts in Programming.",25045,0,English,"industry-recognized, project-based, in-demand",[]
7,"Resume Building - Practical Guide (Crash Course, edX)",Career Skills,resume building practical guide career skills,Beginner,6,3.9,Prof. R. Iyer,"Learn Resume Building through a practical guide focused course, covering key concepts in Career Skills.",42748,1499,English + Hindi Subtitles,"job-ready, hands-on, industry-recognized",[]
8,"Feature Engineering - Optimization Strategies (Self-Paced, LinkedIn Learning)",Machine Learning,feature engineering optimization strategies machine learning,Advanced,8,4.0,Dr. A. Sharma,"Learn Feature Engineering through a optimization strategies focused course, covering key concepts in Machine Learning.",26265,499,English + Hindi Subtitles,"certificate, project-based, in-demand, mentor-support",[1602]
9,"Matplotlib - Real World Projects (Project-Based, edX)",Data Visualization,matplotlib real world projects data visualization,Beginner,20,4.4,Mr. S. Gupta,"Learn Matplotlib through a real world projects focused course, covering key concepts in Data Visualization.",16186,1999,Hindi,"industry-recognized, in-demand, job-ready, certificate",[]
10,"SQL - Real World Projects (Self-Paced, edX)",Databases,sql real world projects databases,Beginner,30,3.9,Dr. N. Rao,"Learn SQL through a real world projects focused course, covering key concepts in Databases.",6137,1499,English,"trending, project-based",[]
11,"Seaborn - Basics (Live Cohort, LinkedIn Learning)",Data Visualization,seaborn basics data visualization,Beginner,2,3.8,Mr. S. Gupta,"Learn Seaborn through a basics focused course, covering key concepts in Data Visualization.",38532,3999,Spanish,"trending, hands-on",[]
12,"Java - Object Oriented Programming (Project-Based, Pluralsight)",Programming,java object oriented programming programming,Intermediate,4,3.8,Prof. R. Iyer,"Learn Java through a object oriented programming focused course, covering key concepts in Programming.",29110,499,Spanish,"certificate, trending","[422, 892]"
13,"Docker - Production Deployment (Self-Paced, Pluralsight)",Cloud & DevOps,docker production deployment cloud & devops,Advanced,8,4.4,Dr. N. Rao,"Learn Docker through a production deployment focused course, covering key concepts in Cloud & DevOps.",37461,0,French,"certificate, job-ready, industry-recognized","[985, 1227]"
14,"Power BI - Best Practices (Project-Based, Pluralsight)",Data Visualization,power bi best practices data visualization,Advanced,30,4.6,Dr. A. Sharma,"Learn Power BI through a best practices focused course, covering key concepts in Data Visualization.",16648,2999,French,"job-ready, beginner-friendly, quiz-included","[9, 974]"
15,"Clustering - Real World Case Studies (Live Cohort, DataCamp)",Machine Learning,clustering real world case studies machine learning,Advanced,20,4.3,Dr. N. Rao,"Learn Clustering through a real world case studies focused course, covering key concepts in Machine Learning.",17464,4999,Hindi,"project-based, trending, in-demand",[1517]
16,"Matplotlib - Basics (Project-Based, LinkedIn Learning)",Data Visualization,matplotlib basics data visualization,Beginner,20,3.7,Ms. K. Verma,"Learn Matplotlib through a basics focused course, covering key concepts in Data Visualization.",32104,0,English + Hindi Subtitles,"job-ready, in-demand, beginner-friendly, certificate",[]
17,"Rust - Testing and Debugging (Project-Based, DataCamp)",Programming,rust testing and debugging programming,Beginner,15,4.5,Prof. R. Iyer,"Learn Rust through a testing and debugging focused course, covering key concepts in Programming.",29195,2499,French,"industry-recognized, certificate",[]
18,"CI CD - Introduction (Project-Based, LinkedIn Learning)",Cloud & DevOps,ci cd introduction cloud & devops,Beginner,8,3.8,Dr. L. Fernandes,"Learn CI CD through a introduction focused course, covering key concepts in Cloud & DevOps.",20163,2499,French,"certificate, project-based, industry-recognized",[]
19,"Graph Databases - Basics (Project-Based, Udemy)",Databases,graph databases basics databases,Beginner,30,4.5,Prof. M. Khan,"Learn Graph Databases through a basics focused course, covering key concepts in Databases.",10399,1499,Spanish,"beginner-friendly, in-demand",[]
20,"Natural Language Processing - Introduction (Self-Paced, edX)",AI Specialized,natural language processing introduction ai specialized,Beginner,12,4.9,Mr. T. Singh,"Learn Natural Language Processing through a introduction focused course, covering key concepts in AI Specialized.",42977,2999,English + Hindi Subtitles,"project-based, job-ready",[]
21,"Data Wrangling - Best Practices (Crash Course, Udemy)",Data Science,data wrangling best practices data science,Intermediate,12,3.7,Prof. M. Khan,"Learn Data Wrangling through a best practices focused course, covering key concepts in Data Science.",47775,2499,English + Hindi Subtitles,"project-based, mentor-support, trending","[797, 812]"
22,"Attention Mechanisms - Foundations (Live Cohort, Pluralsight)",Deep Learning,attention mechanisms foundations deep learning,Intermediate,2,4.6,Ms. P. Nair,"Learn Attention Mechanisms through a foundations focused course, covering key concepts in Deep Learning.",3774,2999,English + Hindi Subtitles,"beginner-friendly, job-ready, project-based, hands-on","[1315, 1803]"
23,"RNN - Case Studies (Self-Paced, LinkedIn Learning)",Deep Learning,rnn case studies deep learning,Advanced,8,3.8,Dr. N. Rao,"Learn RNN through a case studies focused course, covering key concepts in Deep Learning.",19469,2499,English,"mentor-support, in-demand, quiz-included",[1913]
24,"CNN - Foundations (Project-Based, edX)",Deep Learning,cnn foundations deep learning,Advanced,25,4.6,Mr. S. Gupta,"Learn CNN through a foundations focused course, covering key concepts in Deep Learning.",40622,4999,Spanish,"certificate, in-demand, industry-recognized","[939, 1667]"
25,"Data Storytelling - Advanced Dashboards (Live Cohort, DataCamp)",Data Visualization,data storytelling advanced dashboards data visualization,Advanced,12,4.6,Prof. J. Mehta,"Learn Data Storytelling through a advanced dashboards focused course, covering key concepts in Data Visualization.",30943,0,Spanish,"job-ready, industry-recognized, project-based, in-demand",[1764]
26,"Graph Databases - Basics (Self-Paced, Udemy)",Databases,graph databases basics databases,Beginner,30,4.1,Prof. R. Iyer,"Learn Graph Databases through a basics focused course, covering key concepts in Databases.",3827,2499,English + Hindi Subtitles,"quiz-included, job-ready, project-based, hands-on",[]
27,"Ensemble Methods - Fundamentals (Crash Course, edX)",Machine Learning,ensemble methods fundamentals machine learning,Beginner,20,3.7,Prof. R. Iyer,"Learn Ensemble Methods through a fundamentals focused course, covering key concepts in Machine Learning.",21419,2999,Hindi,"in-demand, project-based",[]
28,"Exploratory Data Analysis - Fundamentals (Self-Paced, DataCamp)",Data Science,exploratory data analysis fundamentals data science,Beginner,30,3.8,Prof. R. Iyer,"Learn Exploratory Data Analysis through a fundamentals focused course, covering key concepts in Data Science.",28871,1499,English + Hindi Subtitles,"trending, project-based, in-demand, quiz-included",[]
29,"Docker - Advanced Configuration (Self-Paced, edX)",Cloud & DevOps,docker advanced configuration cloud & devops,Advanced,6,4.7,Prof. R. Iyer,"Learn Docker through a advanced configuration focused course, covering key concepts in Cloud & DevOps.",45976,2499,English + Hindi Subtitles,"industry-recognized, beginner-friendly, quiz-included",[1808]
30,"Freelancing - Fundamentals (Self-Paced, Udemy)",Career Skills,freelancing fundamentals career skills,Beginner,20,3.8,Prof. M. Khan,"Learn Freelancing through a fundamentals focused course, covering key concepts in Career Skills.",21974,1499,English + Hindi Subtitles,"in-demand, hands-on, beginner-friendly",[]
31,"Hypothesis Testing - Fundamentals (Live Cohort, edX)",Statistics & Math,hypothesis testing fundamentals statistics & math,Beginner,4,4.5,Ms. P. Nair,"Learn Hypothesis Testing through a fundamentals focused course, covering key concepts in Statistics & Math.",26122,3999,English,"hands-on, trending, quiz-included, in-demand",[]
32,"Exploratory Data Analysis - Hands-on Project (Self-Paced, Pluralsight)",Data Science,exploratory data analysis hands on project data science,Advanced,15,5.0,Dr. L. Fernandes,"Learn Exploratory Data Analysis through a hands-on project focused course, covering key concepts in Data Science.",21584,4999,Spanish,"in-demand, quiz-included, certificate",[577]
33,"Rust - Design Patterns (Project-Based, Coursera)",Programming,rust design patterns programming,Advanced,4,4.3,Dr. L. Fernandes,"Learn Rust through a design patterns focused course, covering key concepts in Programming.",7511,4999,Hindi,"certificate, job-ready, industry-recognized, mentor-support",[79]
34,"Database Optimization - Intermediate Queries (Crash Course, LinkedIn Learning)",Databases,database optimization intermediate queries databases,Beginner,15,4.7,Mr. T. Singh,"Learn Database Optimization through a intermediate queries focused course, covering key concepts in Databases.",29725,999,English + Hindi Subtitles,"beginner-friendly, quiz-included",[]
35,"JavaScript - Data Structures (Project-Based, DataCamp)",Programming,javascript data structures programming,Intermediate,25,4.7,Ms. P. Nair,"Learn JavaScript through a data structures focused course, covering key concepts in Programming.",1557,2999,French,"hands-on, mentor-support, in-demand",[1730]
